country,province,population,Lat,Long
New Caledonia,All,2822,-20.9043,165.618
French Polynesia,All,275918,-17.6797,149.4068
Abkhazia,All,244832,,
São Tomé and Príncipe,All,201784,,
Samoa,All,200874,,
Guam(US),All,1724,,
Curacao,All,158665,12.1696,-68.99
Artsakh,All,148,,
Kiribati,All,1201,,
Aruba,All,112309,12.5186,-70.0358
Jersey(UK),All,1068,,
U.S. Virgin Islands(US),All,104578,,
F.S. Micronesia,All,104468,,
Tonga,All,100651,,
Isle of Man,All,83314,54.2361,-4.5481
Cayman Islands,All,65813,19.3133,-81.2546
Bermuda,All,64027,32.3078,-64.7505
Guernsey(UK),All,62792,,
American Samoa(US),All,567,,
Greenland,All,56081,71.7069,-42.6043
Northern Mariana Islands(US),All,562,,
Marshall Islands,All,555,,
South Ossetia,All,53532,,
Faeroe Is.,All,52124,,
Turks and Caicos Islands,All,41369,21.694,-71.7979
Sint Maarten,All,40614,18.0425,-63.0548
St Martin,All,35746,18.0708,-63.0501
Gibraltar,All,33701,36.1408,-5.3536
British Virgin Islands,All,3003,18.4207,-64.64
Åland Islands(Finland),All,29789,,
Palau,All,179,,
Cook Islands(NZ),All,152,,
Anguilla,All,14869,18.2206,-63.0686
Wallis and Futuna(France),All,117,,
Nauru,All,11,,
Tuvalu,All,102,,
Saint Barthelemy,All,9793,17.9,-62.8333
Saint Pierre and Miquelon(France),All,6008,,
Saint Helena,All,,,
and Tristan da Cunha(UK),All,,,
Montserrat,All,4989,16.7425,-62.1874
Falkland Islands(UK),All,3198,,
Christmas Island(Australia),All,1928,,
Norfolk Island(Australia),All,1756,,
Niue(NZ),All,152,,
Tokelau(NZ),All,14,,
Cocos (Keeling) Islands(Australia),All,538,,
Pitcairn Islands(UK),All,50,,
"Bonaire, Sint Eustatius and Saba",All,25157,12.1784,-68.2385
Channel Islands,All,170499,49.3723,-2.3644
Faroe Islands,All,52110,61.8926,-6.9118
Guadeloupe,All,395700,16.25,-61.5833
Martinique,All,376480,14.6415,-61.0242
Mayotte,All,270372,-12.8275,45.1662
Reunion,All,859959,-21.1351,55.2471
French Guiana,All,290691,3.9339,-53.1258
Ontario,prvc,14446515,51.2538,-85.3232
Quebec,prvc,8433301,52.9399,-73.5491
BC,prvc,5020302,49.2827,-123.1207
Alberta,prvc,4345737,53.9333,-116.5765
Manitoba,prvc,1360396,53.7609,-98.8139
Saskatchewan,prvc,1168423,52.9399,-106.4509
Nova Scotia,prvc,965382,44.682,-63.7443
New Brunswick,prvc,772094,46.5653,-66.4619
NL,prvc,523790,53.1355,-57.6604
PEI,prvc,154748,46.5107,-63.4168
NWT,prvc,44598,64.8255,-124.8457
Yukon,prvc,40369,64.2823,-135
Nunavut,prvc,38787,70.453262,-86.798981
Alabama,prvc,4903185,32.318231,-86.902298
Alaska,prvc,731545,63.588753,-154.493062
Arizona,prvc,7278717,34.048928,-111.093731
Arkansas,prvc,3017825,35.20105,-91.831833
California,prvc,39512223,36.778261,-119.417932
Colorado,prvc,5758736,39.550051,-105.782067
Connecticut,prvc,3565287,41.603221,-73.087749
Delaware,prvc,973764,38.910832,-75.52767
District of Columbia,prvc,705749,38.905985,-77.033418
Florida,prvc,21477737,27.664827,-81.515754
